ID,trial,word,ink,response,reactiontime,practice
5,1,red,red,f,416,practice
5,2,green,red,f,382,practice
5,3,red,green,j,390,practice
5,4,green,green,j,373,practice
5,5,red,red,f,383,practice
5,6,green,red,f,358,practice
5,7,red,green,j,405,practice
5,8,green,green,f,399,practice
5,9,red,red,f,360,practice
5,10,green,red,f,367,practice
5,11,red,green,j,400,main
5,12,green,green,j,355,main
5,13,red,red,f,361,main
5,14,green,red,f,378,main
5,15,red,green,j,404,main
5,16,green,green,j,428,main
5,17,red,red,f,425,main
5,18,green,red,f,389,main
5,19,red,green,f,358,main
5,20,green,green,j,463,main
5,21,red,red,j,425,main
5,22,green,red,f,392,main
5,23,red,green,j,420,main
5,24,green,green,j,399,main
5,25,red,red,f,365,main
5,26,green,red,f,440,main
5,27,red,green,j,410,main
5,28,green,green,j,401,main
5,29,red,red,f,359,main
5,30,green,red,f,402,main
