ID,trial,word,ink,response,reactiontime,practice
6,31,red,green,j,417,practice
6,32,green,green,j,417,practice
6,33,red,red,f,408,practice
6,34,green,red,f,414,practice
6,35,red,green,j,405,practice
6,36,green,green,j,404,practice
6,37,red,red,f,369,practice
6,38,green,red,f,404,practice
6,39,red,green,j,417,practice
6,40,green,green,j,359,practice
6,41,red,red,f,433,main
6,42,green,red,f,371,main
6,43,red,green,j,404,main
6,44,green,green,j,434,main
6,45,red,red,j,373,main
6,46,green,red,f,400,main
6,47,red,green,j,377,main
6,48,green,green,j,367,main
6,49,red,red,f,387,main
6,50,green,red,f,355,main
6,51,red,green,j,362,main
6,52,green,green,j,385,main
6,53,red,red,f,422,main
6,54,green,red,f,448,main
6,55,red,green,j,399,main
6,56,green,green,j,418,main
6,57,red,red,f,363,main
6,58,green,red,f,395,main
6,59,red,green,j,375,main
6,60,green,green,f,392,main
