ID,trial,word,ink,response,reactiontime,practice
4,91,red,green,j,417,practice
4,92,green,green,j,417,practice
4,93,red,red,f,408,practice
4,94,green,red,j,414,practice
4,95,red,green,j,405,practice
4,96,green,green,j,404,practice
4,97,red,red,f,369,practice
4,98,green,red,f,404,practice
4,99,red,green,j,417,practice
4,100,green,green,j,359,practice
4,101,red,red,f,433,main
4,102,green,red,f,371,main
4,103,red,green,j,404,main
4,104,green,green,j,434,main
4,105,red,red,j,373,main
4,106,green,red,f,400,main
4,107,red,green,j,377,main
4,108,green,green,j,367,main
4,109,red,red,f,387,main
4,110,green,red,f,355,main
4,111,red,green,j,362,main
4,112,green,green,j,385,main
4,113,red,red,j,422,main
4,114,green,red,j,448,main
4,115,red,green,j,399,main
4,116,green,green,j,418,main
4,117,red,red,f,363,main
4,118,green,red,j,395,main
4,119,red,green,j,375,main
4,120,green,green,j,392,main
