ID,trial,word,ink,response,reactiontime,practice
2,31,red,green,j,417,practice
2,32,green,green,j,417,practice
2,33,red,red,f,408,practice
2,34,green,red,f,414,practice
2,35,red,green,j,405,practice
2,36,green,green,j,404,practice
2,37,red,red,f,369,practice
2,38,green,red,f,404,practice
2,39,red,green,j,417,practice
2,40,green,green,j,359,practice
2,41,red,red,f,433,main
2,42,green,red,f,371,main
2,43,red,green,j,404,main
2,44,green,green,j,434,main
2,45,red,red,f,373,main
2,46,green,red,f,400,main
2,47,red,green,j,377,main
2,48,green,green,j,367,main
2,49,red,red,f,387,main
2,50,green,red,f,355,main
2,51,red,green,j,362,main
2,52,green,green,j,385,main
2,53,red,red,f,422,main
2,54,green,red,f,448,main
2,55,red,green,j,399,main
2,56,green,green,j,418,main
2,57,red,red,f,363,main
2,58,green,red,f,395,main
2,59,red,green,j,375,main
2,60,green,green,f,392,main
