ID,trial,word,ink,response,reactiontime,practice
1,1,red,red,j,416,practice
1,2,green,red,f,382,practice
1,3,red,green,j,390,practice
1,4,green,green,j,373,practice
1,5,red,red,j,383,practice
1,6,green,red,f,358,practice
1,7,red,green,j,405,practice
1,8,green,green,j,399,practice
1,9,red,red,f,360,practice
1,10,green,red,f,367,practice
1,11,red,green,f,400,main
1,12,green,green,j,355,main
1,13,red,red,f,361,main
1,14,green,red,f,378,main
1,15,red,green,j,404,main
1,16,green,green,j,428,main
1,17,red,red,f,425,main
1,18,green,red,f,389,main
1,19,red,green,j,358,main
1,20,green,green,j,463,main
1,21,red,red,f,425,main
1,22,green,red,f,392,main
1,23,red,green,j,420,main
1,24,green,green,j,399,main
1,25,red,red,f,365,main
1,26,green,red,f,440,main
1,27,red,green,j,410,main
1,28,green,green,f,401,main
1,29,red,red,f,359,main
1,30,green,red,f,402,main
