ID,trial,word,ink,response,reactiontime,practice
8,91,red,green,j,417,practice
8,92,green,green,j,417,practice
8,93,red,red,f,408,practice
8,94,green,red,f,414,practice
8,95,red,green,j,405,practice
8,96,green,green,j,404,practice
8,97,red,red,f,369,practice
8,98,green,red,f,404,practice
8,99,red,green,j,417,practice
8,100,green,green,j,359,practice
8,101,red,red,f,433,main
8,102,green,red,f,371,main
8,103,red,green,j,404,main
8,104,green,green,j,434,main
8,105,red,red,f,373,main
8,106,green,red,f,400,main
8,107,red,green,j,377,main
8,108,green,green,j,367,main
8,109,red,red,f,387,main
8,110,green,red,j,355,main
8,111,red,green,f,362,main
8,112,green,green,j,385,main
8,113,red,red,f,422,main
8,114,green,red,f,448,main
8,115,red,green,j,399,main
8,116,green,green,j,418,main
8,117,red,red,f,363,main
8,118,green,red,f,395,main
8,119,red,green,j,375,main
8,120,green,green,f,392,main
